Treatment,Sex,SlideNumber,MouseID,Cluster,n,percentage
CON,M,s07,AL47,1,5,0.5
CON,M,s07,AL47,2,0,0
CON,M,s07,AL47,3,5,0.5
CON,M,s35,AL47,1,2,0.222222222
CON,M,s35,AL47,2,3,0.333333333
CON,M,s35,AL47,3,4,0.444444444
CON,M,s07,AL51,1,1,0.333333333
CON,M,s07,AL51,2,1,0.333333333
CON,M,s07,AL51,3,1,0.333333333
CON,M,s35,AL51,1,1,0.2
CON,M,s35,AL51,2,2,0.4
CON,M,s35,AL51,3,2,0.4
CON,M,s07,AL55,2,0,0
CON,M,s07,AL55,3,0,0
CON,M,s07,AL55,1,2,1
CON,M,s35,AL55,1,4,1
CON,M,s35,AL55,2,0,0
CON,M,s35,AL55,3,0,0
CON,F,s07,AL59,2,2,0.666666667
CON,F,s07,AL59,1,0,0
CON,F,s07,AL59,3,1,0.333333333
CON,F,s35,AL59,1,1,0.2
CON,F,s35,AL59,2,1,0.2
CON,F,s35,AL59,3,3,0.6
CON,M,s07,AL61,1,2,0.5
CON,M,s07,AL61,2,0,0
CON,M,s07,AL61,3,2,0.5
CON,M,s35,AL61,1,1,0.25
CON,M,s35,AL61,2,0,0
CON,M,s35,AL61,3,3,0.75
CON,F,s07,AL62,1,7,0.466666667
CON,F,s07,AL62,2,2,0.133333333
CON,F,s07,AL62,3,6,0.4
CON,F,s35,AL62,1,10,0.625
CON,F,s35,AL62,2,2,0.125
CON,F,s35,AL62,3,4,0.25
CON,F,s07,AL64,1,3,0.6
CON,F,s07,AL64,2,0,0
CON,F,s07,AL64,3,2,0.4
CON,F,s35,AL64,1,6,0.857142857
CON,F,s35,AL64,2,0,0
CON,F,s35,AL64,3,1,0.142857143
CON,F,s07,AL65,1,0,0
CON,F,s07,AL65,2,1,0.25
CON,F,s07,AL65,3,3,0.75
CON,F,s35,AL65,1,3,0.6
CON,F,s35,AL65,2,1,0.2
CON,F,s35,AL65,3,1,0.2
CON,M,s07,AL67,1,1,0.333333333
CON,M,s07,AL67,2,0,0
CON,M,s07,AL67,3,2,0.666666667
CON,M,s35,AL67,1,2,0.285714286
CON,M,s35,AL67,2,0,0
CON,M,s35,AL67,3,5,0.714285714
COLD,M,s07,AL73,2,1,0.25
COLD,M,s07,AL73,1,0,0
COLD,M,s07,AL73,3,3,0.75
COLD,M,s35,AL73,1,2,0.5
COLD,M,s35,AL73,2,0,0
COLD,M,s35,AL73,3,2,0.5
COLD,F,s07,AL74,1,0,0
COLD,F,s07,AL74,2,0,0
COLD,F,s07,AL74,3,3,1
COLD,F,s35,AL74,1,2,0.25
COLD,F,s35,AL74,2,0,0
COLD,F,s35,AL74,3,6,0.75
COLD,M,s07,AL75,1,1,0.25
COLD,M,s07,AL75,2,0,0
COLD,M,s07,AL75,3,3,0.75
COLD,M,s35,AL75,1,1,0.142857143
COLD,M,s35,AL75,2,0,0
COLD,M,s35,AL75,3,6,0.857142857
COLD,M,s07,AL77,1,1,0.2
COLD,M,s07,AL77,2,0,0
COLD,M,s07,AL77,3,4,0.8
COLD,M,s35,AL77,1,1,0.25
COLD,M,s35,AL77,2,1,0.25
COLD,M,s35,AL77,3,2,0.5
COLD,F,s07,AL78,1,0,0
COLD,F,s07,AL78,2,0,0
COLD,F,s07,AL78,3,1,1
COLD,F,s35,AL78,2,2,0.4
COLD,F,s35,AL78,1,0,0
COLD,F,s35,AL78,3,3,0.6
COLD,M,s07,AL80,1,0,0
COLD,M,s07,AL80,2,2,0.285714286
COLD,M,s07,AL80,3,5,0.714285714
COLD,M,s35,AL80,1,5,0.625
COLD,M,s35,AL80,2,2,0.25
COLD,M,s35,AL80,3,1,0.125
COLD,M,s07,AL83,1,1,0.2
COLD,M,s07,AL83,2,1,0.2
COLD,M,s07,AL83,3,3,0.6
COLD,M,s35,AL83,2,0,0
COLD,M,s35,AL83,1,2,0.4
COLD,M,s35,AL83,3,3,0.6
COLD,F,s07,AL85,1,3,0.375
COLD,F,s07,AL85,2,1,0.125
COLD,F,s07,AL85,3,4,0.5
COLD,F,s35,AL85,1,2,0.25
COLD,F,s35,AL85,3,6,0.75
COLD,F,s35,AL85,2,0,0
