"PC1","PC2","PC3","BrainRegion","MouseID","Treatment","Sex","SlideNumber","ID","UniqueID","Foreground.pixels","Density.of.foreground.pixels.in.hull.area","Span.ratio.of.hull..major.minor.axis.","Maximum.span.across.hull","Area","Perimeter","Circularity","Width.of.bounding.rectangle","Height.of.bounding.rectangle","Maximum.radius.from.hull.s.center.of.mass","Max.min.radii.from.hull.s.center.of.mass","Relative.variation..CV..in.radii.from.hull.s.center.of.mass","Mean.radius","Diameter.of.bounding.circle","Maximum.radius.from.circle.s.center.of.mass","Max.min.radii.from.circle.s.center.of.mass","Relative.variation..CV..in.radii.from.circle.s.center.of.mass","Mean.radius.from.circle.s.center.of.mass","X..of.branches","X..of.junctions","X..of.end.point.voxels","X..of.junction.voxels","X..of.slab.voxels","Average.branch.length","X..of.triple.points","X..of.quadruple.points","Maximum.branch.length","Cluster"
0.0108945519761731,-0.642099728718238,-1.81667050511853,"PVN","AL47","CON","M","s07","0001-0379","PVN_AL47_CON_M_s07_0001-0379",14454,0.5935,1.6892,248.6705,24354,618.2282,0.8007,229,176,132.6632,2.3893,0.1768,107.5778,248.6705,124.3352,3.3097,0.1732,109.834,32,18,10,30,552,0.074,18,0,0.169,"3"
-1.002419108212,0.598966245803906,0.770538857034802,"PVN","AL47","CON","M","s07","0002-1034","PVN_AL47_CON_M_s07_0002-1034",9681,0.5892,1.9009,207.7137,16430,520.0228,0.7635,127,206,122.5601,1.8866,0.2017,91.0329,207.7308,103.8654,1.4716,0.1063,93.7642,5,2,4,6,270,0.213,2,0,0.465,"1"
-0.938174398911366,-0.65907736509923,0.330414875433454,"PVN","AL47","CON","M","s07","0003-2194","PVN_AL47_CON_M_s07_0003-2194",14926,0.7702,1.203,189.4228,19379,530.2592,0.8661,186,166,99.6493,1.5381,0.1293,85.1551,192.8024,96.4012,1.3771,0.1301,84.8347,10,5,5,11,371,0.154,5,0,0.318,"1"
-0.145420474912262,-1.23447441481856,0.1433584623479,"PVN","AL47","CON","M","s07","0004-2300","PVN_AL47_CON_M_s07_0004-2300",19320,0.6275,1.4029,243.8237,30791,676.2069,0.8462,241,183,132.13,1.5577,0.0956,115.532,246.2494,123.1247,1.5196,0.0778,117.0998,22,11,11,13,504,0.095,11,0,0.333,"1"
-1.59076449249003,-0.0623996510838579,-0.540293857870738,"PVN","AL47","CON","M","s07","0005-2338","PVN_AL47_CON_M_s07_0005-2338",8388,0.7923,1.5344,158.3824,10587,397.5948,0.8416,102,156,81.8761,1.738,0.1748,66.6284,158.3824,79.1912,1.7755,0.1695,67.2222,7,3,5,5,202,0.118,3,0,0.228,"1"
0.461711084584163,-1.0421486278179,1.52524342466821,"PVN","AL47","CON","M","s07","0006-2710","PVN_AL47_CON_M_s07_0006-2710",24151,0.4492,1.4166,316.7112,53765,890.8867,0.8513,298,300,171.0872,1.4639,0.1078,149.3727,318.2549,159.1275,1.112,0.0348,151.9051,19,10,8,22,725,0.156,10,0,0.679,"3"
-0.0315819148666014,0.107520258815283,-0.106871957000365,"PVN","AL47","CON","M","s07","0007-3048","PVN_AL47_CON_M_s07_0007-3048",15041,0.5135,1.6103,278.6055,29293,691.0317,0.7709,179,267,161.4979,2.038,0.2397,111.9228,278.6055,139.3027,2.01,0.1654,119.1791,14,7,7,13,536,0.153,7,0,0.445,"3"
0.464250648864153,-0.126929516552092,0.399305112891792,"PVN","AL47","CON","M","s07","0008-3098","PVN_AL47_CON_M_s07_0008-3098",17249,0.3978,1.9988,344.3792,43363,846.9755,0.7596,280,272,192.9721,2.1406,0.2289,149.7364,344.3792,172.1896,1.391,0.0986,155.0796,17,8,10,14,562,0.133,8,0,0.381,"3"
-0.501546313039044,1.97989851698445,-2.16237717237225,"PVN","AL47","CON","M","s07","0009-3085","PVN_AL47_CON_M_s07_0009-3085",7722,0.6068,2.4781,235.5101,12726,535.4239,0.5578,228,115,141.3384,4.8258,0.3347,105.3911,235.5101,117.755,4.3938,0.2374,99.6887,9,4,6,8,302,0.136,4,0,0.282,"1"
0.330985789574386,-0.6892244942978,1.12368792669388,"PVN","AL47","CON","M","s07","0010-3578","PVN_AL47_CON_M_s07_0010-3578",19866,0.4466,1.2491,301.0598,44479,824.0095,0.8232,265,270,178.3148,1.8975,0.1594,136.5908,303.9155,151.9577,1.2716,0.064,143.7474,16,7,9,19,649,0.169,5,2,0.598,"3"
1.49983800625397,-0.0353635098371649,2.51859903234054,"PVN","AL51","CON","M","s07","0001-1237","PVN_AL51_CON_M_s07_0001-1237",28944,0.2304,1.5807,526.3858,125602,1436.0745,0.7653,504,443,280.8799,1.8119,0.108,256.1067,529.0482,264.5241,1.55,0.0765,257.0108,16,8,8,22,1206,0.302,8,0,0.805,"2"
0.860803219590883,0.402833064003123,0.820812906758984,"PVN","AL51","CON","M","s07","0002-1573","PVN_AL51_CON_M_s07_0002-1573",23021,0.4213,2.5725,429.0839,54640,1045.4158,0.6283,423,219,233.0873,2.2489,0.2359,192.8297,429.7354,214.8677,1.2722,0.082,202.6313,15,7,9,13,676,0.187,7,0,0.395,"3"
-0.583409262358204,0.03202998310941,1.23917839792557,"PVN","AL51","CON","M","s07","0003-3582","PVN_AL51_CON_M_s07_0003-3582",13514,0.5544,1.7425,233.4995,24376,630.0941,0.7715,181,230,144.9581,1.64,0.1698,109.1253,239.1503,119.5752,1.1916,0.0552,114.0697,7,3,5,7,312,0.184,3,0,0.437,"1"
-0.407730578763304,-0.51149553759279,0.120621953909172,"PVN","AL55","CON","M","s07","0001-0257","PVN_AL55_CON_M_s07_0001-0257",20678,0.8157,1.5276,233.4524,25349,609.5863,0.8572,231,175,125.8861,1.6126,0.1502,101.7342,233.4524,116.7262,1.6305,0.1572,100.9551,14,7,7,11,557,0.162,7,0,0.441,"1"
-2.55182585299818,-0.405279764114132,0.608752263767365,"PVN","AL55","CON","M","s07","0002-3528","PVN_AL55_CON_M_s07_0002-3528",7232,0.9683,1.2437,111.463,7469,314.017,0.9518,111,92,57.3061,1.3172,0.0791,50.3653,111.5294,55.7647,1.3088,0.0841,50.4772,3,1,3,3,110,0.155,1,0,0.246,"1"
-0.322299577055004,2.02931670323476,1.54413693464607,"PVN","AL59","CON","F","s07","0001-0555","PVN_AL59_CON_F_s07_0001-0555",12001,0.3914,1.4963,274.4485,30661,706.8397,0.7712,234,219,175.6265,3.1301,0.3564,112.7943,274.4583,137.2292,2.1162,0.1769,122.8802,4,2,2,4,391,0.401,2,0,0.833,"2"
-0.0679628435269599,0.322580282487989,1.63234780700572,"PVN","AL59","CON","F","s07","0003-1266","PVN_AL59_CON_F_s07_0003-1266",15106,0.4477,1.3462,285.9108,33744,767.6825,0.7195,215,251,176.6678,1.7967,0.1805,135.421,293.4131,146.7066,1.3564,0.0887,138.6881,9,4,6,4,491,0.223,4,0,0.716,"2"
2.08380713100191,-0.790136892507014,1.39206835491823,"PVN","AL59","CON","F","s07","0004-4109","PVN_AL59_CON_F_s07_0004-4109",55303,0.313,1.454,596.6381,176671,1636.725,0.8288,458,569,353.4798,1.7688,0.1595,270.7879,610.8312,305.4156,1.6114,0.1363,281.8236,36,18,18,34,1783,0.199,18,0,0.664,"3"
-1.28488090580237,0.0109784641378348,0.046134029928954,"PVN","AL61","CON","M","s07","0001-0609","PVN_AL61_CON_M_s07_0001-0609",12566,0.8037,1.3536,177.0537,15636,475.6367,0.8685,138,159,96.14,1.6615,0.16,75.9908,177.5679,88.784,1.8783,0.1854,77.4588,7,3,5,3,257,0.15,3,0,0.351,"1"
-0.402989840799335,-1.37506218230409,-0.0399641468662137,"PVN","AL61","CON","M","s07","0002-0642","PVN_AL61_CON_M_s07_0002-0642",21701,0.7986,1.4339,222.5758,27173,612.4458,0.9104,155,224,114.5406,1.4468,0.0941,100.304,222.8885,111.4442,1.4728,0.1009,100.524,19,9,10,14,533,0.12,8,1,0.282,"1"
